grade,standard_code,difficulty,prompt,answer_type,canonical_answer,canonical_equation,solution_steps,misconception_tags
6,6.RP.A.3,2,"A recipe calls for 3 cups of flour to make 24 cookies. How many cups of flour are needed to make 40 cookies?",decimal,5,"3/24 = x/40","[{""step"":""read"",""content"":""Identify: 3 cups flour = 24 cookies, need cups for 40 cookies""},{""step"":""represent"",""content"":""Set up proportion: 3/24 = x/40""},{""step"":""solve"",""content"":""Cross multiply: 24x = 120, x = 5""},{""step"":""check"",""content"":""5 cups for 40 cookies means same rate as 3 cups for 24 cookies""}]","[""proportion_setup"",""cross_multiply""]"
6,6.RP.A.3,3,"A car travels 180 miles in 3 hours. At the same rate, how far will it travel in 5 hours?",integer,300,"180/3 = x/5","[{""step"":""read"",""content"":""Rate: 180 miles in 3 hours, find distance for 5 hours""},{""step"":""represent"",""content"":""Find unit rate: 180/3 = 60 mph, then 60 × 5""},{""step"":""solve"",""content"":""60 mph × 5 hours = 300 miles""},{""step"":""check"",""content"":""300 miles in 5 hours = 60 mph, matches original rate""}]","[""unit_rate"",""multiplication""]"
6,6.EE.A.2,2,"If x represents the number of apples in a bag, write an expression for the total number of apples in 5 bags plus 3 extra apples.",mixed,5x+3,"5x + 3","[{""step"":""read"",""content"":""x apples per bag, 5 bags, plus 3 extra""},{""step"":""represent"",""content"":""5 bags × x apples each = 5x, then add 3""},{""step"":""solve"",""content"":""Expression: 5x + 3""},{""step"":""check"",""content"":""If x=10, then 5(10)+3=53 apples - makes sense""}]","[""variable_multiplication"",""combining_terms""]"
6,6.EE.B.7,3,"Solve for x: 2x + 8 = 20",integer,6,"2x + 8 = 20","[{""step"":""read"",""content"":""Find x when 2x + 8 equals 20""},{""step"":""represent"",""content"":""Equation: 2x + 8 = 20""},{""step"":""solve"",""content"":""Subtract 8: 2x = 12, divide by 2: x = 6""},{""step"":""check"",""content"":""2(6) + 8 = 12 + 8 = 20 ✓""}]","[""inverse_operations"",""equation_solving""]"
7,7.RP.A.2,3,"The ratio of boys to girls in a class is 3:5. If there are 15 boys, how many girls are in the class?",integer,25,"3/5 = 15/x","[{""step"":""read"",""content"":""Boys:Girls = 3:5, 15 boys, find girls""},{""step"":""represent"",""content"":""Set up proportion: 3/5 = 15/x""},{""step"":""solve"",""content"":""Cross multiply: 3x = 75, x = 25 girls""},{""step"":""check"",""content"":""15:25 = 3:5 when divided by 5 ✓""}]","[""ratio_proportion"",""cross_multiply""]"
7,7.EE.B.4,3,"Maria has $50. She buys 3 notebooks that cost $x each and has $20 left. Write and solve an equation to find the cost of each notebook.",decimal,10,"50 - 3x = 20","[{""step"":""read"",""content"":""$50 start, 3 notebooks at $x each, $20 left""},{""step"":""represent"",""content"":""Equation: 50 - 3x = 20""},{""step"":""solve"",""content"":""Subtract 50: -3x = -30, divide by -3: x = 10""},{""step"":""check"",""content"":""50 - 3(10) = 50 - 30 = 20 ✓""}]","[""equation_setup"",""negative_operations""]"
7,7.G.B.6,4,"A rectangular prism has a length of 8 cm, width of 5 cm, and height of 3 cm. What is its volume?",integer,120,"V = lwh","[{""step"":""read"",""content"":""Rectangular prism: l=8, w=5, h=3""},{""step"":""represent"",""content"":""Volume formula: V = length × width × height""},{""step"":""solve"",""content"":""V = 8 × 5 × 3 = 120 cubic cm""},{""step"":""check"",""content"":""120 = 40 × 3 = 8 × 15, confirmed""}]","[""volume_formula"",""multiplication""]"
8,8.EE.C.7,3,"Solve for x: 3(x - 4) = 2x + 5",integer,17,"3(x-4) = 2x+5","[{""step"":""read"",""content"":""Solve equation with x on both sides""},{""step"":""represent"",""content"":""Distribute: 3x - 12 = 2x + 5""},{""step"":""solve"",""content"":""Subtract 2x: x - 12 = 5, add 12: x = 17""},{""step"":""check"",""content"":""3(17-4) = 3(13) = 39, 2(17)+5 = 39 ✓""}]","[""distributive_property"",""collecting_terms""]"
8,8.EE.C.8,4,"Find the solution to the system: y = 2x + 1 and y = x + 4",multi,"x=3 and y=7","y = 2x + 1, y = x + 4","[{""step"":""read"",""content"":""Two equations, find x and y where both are true""},{""step"":""represent"",""content"":""Set equations equal: 2x + 1 = x + 4""},{""step"":""solve"",""content"":""Subtract x: x + 1 = 4, so x = 3. Then y = 3 + 4 = 7""},{""step"":""check"",""content"":""Check both: y = 2(3)+1 = 7 ✓, y = 3+4 = 7 ✓""}]","[""substitution"",""system_of_equations""]"
8,8.G.B.7,4,"A ladder is leaning against a wall. The base of the ladder is 6 feet from the wall, and the ladder reaches 8 feet up the wall. How long is the ladder?",integer,10,"a² + b² = c²","[{""step"":""read"",""content"":""Right triangle: base=6ft, height=8ft, find hypotenuse""},{""step"":""represent"",""content"":""Pythagorean theorem: 6² + 8² = c²""},{""step"":""solve"",""content"":""36 + 64 = c², 100 = c², c = 10 feet""},{""step"":""check"",""content"":""6² + 8² = 36 + 64 = 100 = 10² ✓""}]","[""pythagorean_theorem"",""square_root""]"
